Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Jashore,April,1,12.119353414863715,29.765974619407157,67.00294191335942,55.3453725893712,209.69337089684583,5.230219299066028,Kharif cucumber
Barisal,March,1,5.611637493440838,24.203533527789336,71.20402449756432,53.53508430301448,212.6985762409364,5.229667384295651,Kharif cucumber
Jashore,April,1,11.508181072316523,29.277720118746632,67.09353738762621,55.734287056307714,207.8040467182473,4.993276694843157,Kharif cucumber
Jashore,April,1,12.34772595761609,28.611414191392683,67.4821790769729,55.04990271845489,206.23823897238495,5.096205864214673,Kharif cucumber
Barisal,March,1,6.144976948110628,24.074715455015543,70.82480147446718,53.6822479319112,215.28355613654557,5.006077862564066,Kharif cucumber
Khulna,April,1,12.969335779040003,30.0332739770903,70.2880280254939,59.04416752526202,201.38708168947966,6.99746181529385,Kharif cucumber
Khulna,April,1,12.916831542603369,29.422745956768917,71.6302733435817,59.25205620437824,200.35270863742554,7.135635378530814,Kharif cucumber
Khulna,April,1,12.405273217123856,29.550504726176666,70.60539686026102,59.01058005940446,203.1970188714262,7.01830220376456,Kharif cucumber
Jashore,April,1,12.092306893357593,29.403864630573818,66.76392732847295,55.65485022976408,208.5031176424627,5.003037960990065,Kharif cucumber
Jashore,April,1,11.640753606968639,29.50298994513846,67.32106973203231,55.64598710025452,209.8987574973275,5.0217134651047255,Kharif cucumber
Rajshahi,April,2,13.323616783781185,29.2392783875291,61.56321014129648,57.047706800898155,187.81958773005817,6.086232125750797,Kharif cucumber
Barisal,March,1,5.761963107880101,24.701995674956997,70.17383206955644,53.681609449178154,216.67869256318824,5.112717433923861,Kharif cucumber
Khulna,April,1,12.346811050116878,28.98398082186098,71.69503127962905,58.769887836451105,201.84569894951954,7.164570424072313,Kharif cucumber
Rajshahi,April,2,12.358908722826495,29.314300066508792,61.31535985752255,57.35534757995112,185.01818223138582,6.118386021290324,Kharif cucumber
Barisal,March,1,5.322599329056435,24.87284763086428,70.19561891886792,53.71888074602729,216.93807650710775,5.171865693788262,Kharif cucumber
Khulna,April,1,12.674421579089202,29.517916888800553,70.73557027752935,58.85274709154345,202.49726312554296,7.05698742900472,Kharif cucumber
Barisal,March,1,4.879008509882485,24.563178487858348,70.85223642653106,53.69386302984164,214.70543639116823,5.126564348109113,Kharif cucumber
Jashore,April,1,11.85413431723035,29.08439339074123,66.37517797190742,55.24854637144268,209.1056454729029,5.019068346540195,Kharif cucumber
Rajshahi,April,2,13.01665901055103,29.47074760423908,61.78964396144627,57.422349269012045,184.21641730978322,6.058690751888619,Kharif cucumber
Dhaka,March,1,3.921681768863937,23.936538181030464,62.28871610527234,55.766798779328056,234.59137408364072,4.914536791103368,Kharif cucumber
Dhaka,March,1,3.5798124128303317,23.77770569361594,62.60412243757975,55.92089018461881,233.32547500025606,5.184243734818561,Kharif cucumber
Khulna,April,1,11.88137331085961,29.797911268376467,70.77035123727761,59.35838037602056,199.2897093028461,7.274788255397597,Kharif cucumber
Rajshahi,April,2,13.096937615618858,29.37684804856401,62.15225533937141,56.9630680472783,187.9319918012528,6.089088780797011,Kharif cucumber
Rajshahi,April,2,12.865468211508217,29.209369105572105,62.94185673609624,57.25554041059576,184.5980541804876,6.036557857449068,Kharif cucumber
Jashore,April,1,11.069390131779155,29.554324561327945,67.60895588208759,55.42113387764449,208.7286636986446,4.972443361957677,Kharif cucumber
Khulna,April,1,12.292590341692991,29.183241791981132,71.92549798610541,59.23714924148732,202.88486714998288,7.123532806099391,Kharif cucumber
Rajshahi,April,2,13.168681676256877,29.654594936757174,61.23921718824274,56.79564386720909,183.55723538940893,5.983194987125054,Kharif cucumber
Khulna,April,1,12.402066645153928,29.941785997444203,71.46258489282968,59.03572884293527,199.91851585131292,7.164151274778451,Kharif cucumber
Khulna,April,1,11.903582087972682,29.501999872427874,71.65618014599592,58.956270799669966,198.88465068937992,6.960656687405985,Kharif cucumber
Khulna,April,1,12.88457342219561,29.709338657083098,71.97669607560749,59.14297898687448,205.48735393779245,7.166423043028792,Kharif cucumber
Barisal,March,1,5.80153861928763,24.53159380925048,70.29799581670686,53.41262278900638,212.19868379681472,5.191990482465813,Kharif cucumber
Barisal,March,1,6.813849859064426,24.949707459146403,70.77874664126024,53.55667949866518,216.8379929138971,5.046341107114802,Kharif cucumber
Jashore,April,1,11.550948829858246,29.219800897338388,67.35515692776835,55.26366896189739,207.6656530585565,4.918253931068249,Kharif cucumber
Khulna,April,1,12.113069175262476,29.330791512101506,70.88873716484447,58.81275584356219,203.72139853884428,7.070782705128796,Kharif cucumber
Jashore,April,1,11.81495480972232,28.948252301384812,66.92916966020161,55.76662666697588,207.03195320759772,5.083946268846268,Kharif cucumber
Barisal,March,1,6.270722329520931,24.100261542781244,70.83577598410163,53.65781690596391,213.62601891786613,5.246951578787404,Kharif cucumber
Jashore,April,1,11.07237104094084,29.666961782501847,66.46658171816877,55.6765470833562,212.31669495926718,5.046382587930061,Kharif cucumber
Dhaka,April,1,25.249447704429972,28.389768348847387,68.8406448167199,53.4127818838474,178.2439538504909,6.465388930976416,Khorip Mug 1
Dhaka,April,1,25.221173042395073,28.349485827136537,68.34356349930943,53.9663953563115,179.48322719133594,6.46034443421676,Khorip Mug 1
Khulna,April,3,35.96513189096834,30.544248586183716,76.329954789474,55.289436377827855,175.9712326887681,7.055082445436913,Khorip Mug 1
Bogra,April,1,8.569374538963041,28.06201775671188,65.76406620469449,55.41374977402971,169.4503723240691,6.680524087455831,Khorip Mug 1
Rajshahi,March,3,2.3879565798479057,26.76795248760312,58.501704050543346,59.04748072012161,206.4974290738342,5.627813485090507,Khorip Mug 1
Rajshahi,March,3,5.2197474590248305,26.65965401398252,59.084797796311264,59.10622964050078,206.61331618385958,5.579803579946305,Khorip Mug 1
Khulna,April,3,36.88676990261422,30.48733903158338,75.35220222762023,54.62787822907757,178.32014448990887,7.0901251591087595,Khorip Mug 1
Rajshahi,March,3,2.033763823128268,27.207842386277505,59.22588535013592,58.974846749896514,208.95426982001916,5.661663764672219,Khorip Mug 1
Bogra,April,1,5.628942751873328,28.109105947836394,66.45137144422473,55.94644625117399,174.7927726060306,6.6651725098812635,Khorip Mug 1
Mymensingh,April,3,17.31241483187814,27.040574578849135,72.0884626732863,48.70438695423368,144.4832882211678,7.1967479704522574,Khorip Mug 1
Rajshahi,March,3,0.3534620622951872,26.863739784821128,58.10937908064648,59.19024936447806,207.85917382899152,5.631066055600411,Khorip Mug 1
Bogra,April,1,8.266395267915888,28.164647888016095,66.3476431686727,55.39244166905994,176.81615888882513,6.7403149221399445,Khorip Mug 1
Dhaka,April,1,23.38285776120619,28.243078135286673,69.8158406009275,53.65324472097046,182.44458817723276,6.537891950646965,Khorip Mug 1
Rajshahi,March,3,4.658077389446441,26.874350652239198,59.603296172676465,58.525457225150426,212.43251940456,5.656699829300939,Khorip Mug 1
Bogra,April,1,6.836857488618559,28.04931044106791,66.5467361271903,55.543198255019476,173.46333405071923,6.8078461231367084,Khorip Mug 1
Mymensingh,April,3,19.99807350914854,26.979237095149188,72.37369563926133,49.288477870573544,149.7047816704902,7.255969688262413,Khorip Mug 1
Bogra,April,1,7.594629833538162,28.00044756694881,66.14685952118991,56.3783833092937,170.78442382557049,6.719209837671934,Khorip Mug 1
Khulna,April,3,37.76217439055235,30.622905149889196,76.41106507653055,55.604042902247585,177.0443531763752,7.117325458947933,Khorip Mug 1
Dhaka,April,1,24.612263856062818,28.14661202011951,68.10475215607208,53.02787966901234,181.43532730622715,6.485905409066673,Khorip Mug 1
Dhaka,April,1,24.828764981227312,28.393253266709063,67.37412676721594,53.226846320540226,182.85175721180303,6.418450356850678,Khorip Mug 1
Bogra,April,1,9.727584730742837,27.982398629882663,65.91152298746916,56.28006944769987,174.11003682638034,6.652037420854631,Khorip Mug 1
Khulna,April,3,36.78915934152004,30.533370391008454,75.7592272891212,55.242075138944244,179.39996214361844,7.110462720526273,Khorip Mug 1
Bogra,April,1,9.157813784490381,28.158059131431255,65.99336771556047,56.01591511573076,171.58802614601296,6.804913610717022,Khorip Mug 1
Dhaka,April,1,25.479734575318094,28.201947203663238,67.9152087958088,53.82141283667081,180.88669547608353,6.518780433301223,Khorip Mug 1
Bogra,April,1,6.6545894360017135,28.012045786521927,65.80922381412526,55.21386109818339,173.24246383030805,6.7013010150592045,Khorip Mug 1
Mymensingh,April,3,20.151889189618274,26.98144256208293,71.79985596154746,48.57240113499259,150.41464173086473,7.252521385316675,Khorip Mug 1
Khulna,April,3,36.90089279150465,30.775257449334255,75.55920236990853,55.13866039637276,175.70356225039603,7.070960866225561,Khorip Mug 1
Bogra,April,1,8.740237758670867,28.08452392344789,64.93703005355097,55.57501266931902,176.85048035489584,6.717159659645026,Khorip Mug 1
Bogra,April,1,8.380301331330742,27.951576109950622,65.65657776448165,56.04070997718119,169.67984138605814,6.819287796397355,Khorip Mug 1
Khulna,April,3,38.629167467051566,30.47166108981818,74.65432112660764,54.90111837916745,175.6438946275175,7.087487636862619,Khorip Mug 1
Mymensingh,April,3,19.485260533251658,27.009761666171112,72.14096791416087,49.089664417416664,149.05408080810648,7.268953639866204,Khorip Mug 1
Dhaka,April,1,24.997596748155182,28.698420067010357,69.15354116780499,52.96026860439616,186.30662966379103,6.519922144617837,Khorip Mug 1
Bogra,April,1,6.495199940097519,28.153795972131885,66.61317792484672,55.58103380646806,175.31464575133555,6.622547106892256,Khorip Mug 1
Bogra,April,1,7.120140192488679,28.350147910480725,66.87495771695237,56.593987981101,171.2848813485366,6.74119425089416,Khorip Mug 1
Mymensingh,April,3,21.11677292766808,26.852613402105955,71.51803246454736,48.926085789984924,146.9497823440219,7.248656468240899,Khorip Mug 1
Rajshahi,March,3,3.1088478335892926,27.157077317564127,60.28588472212426,59.15342333468845,209.94654951439585,5.626590154505014,Khorip Mug 1
Mymensingh,April,3,16.276509749512698,27.143423712847405,71.13100496763559,48.712618582920264,148.41049762446045,7.221152698955971,Khorip Mug 1
Mymensingh,April,3,18.319127713634966,27.043526220696375,71.96491007274392,49.7203424150519,146.6663816530709,7.211804980823569,Khorip Mug 1
Bogra,April,1,7.821699257973851,28.172173574340214,66.06118053565228,55.616099404756326,173.7995022165952,6.650668480357221,Khorip Mug 1
Rajshahi,March,3,4.5594151885053495,27.02256336472613,59.77918204381842,58.318170653801545,207.7704267179732,5.5742555229290875,Khorip Mug 1
Mymensingh,April,3,19.568157349081606,26.857851719881502,71.51386643881055,48.92335486069079,145.66565406423248,7.22761565703897,Khorip Mug 1
Mymensingh,April,3,19.329878760439122,27.156274899683357,71.48838050394063,49.1049274820646,147.09466804806124,7.207453445206154,Khorip Mug 1
Bogra,April,1,3.7356963813016284,28.12339773643172,66.37196909900165,55.87708559022242,173.861560860192,6.726445153381898,Khorip Mug 1
Rajshahi,March,3,4.392182448231341,26.62699518853825,58.93205469493569,58.66289945740419,209.0727603715691,5.623595332252899,Khorip Mug 1
Dhaka,April,1,24.824794911513337,28.65705051943685,68.37118894346074,53.97284699078528,180.65443810729622,6.623287201708152,Khorip Mug 1
Dhaka,April,1,26.532804125514787,28.705587800171482,69.13706940770751,53.36118608181112,179.54716704447236,6.472232595010459,Khorip Mug 1
Khulna,April,3,38.61500521118331,30.483779950144434,74.20886992682034,54.719654888428906,177.3677544104533,7.108608150280448,Khorip Mug 1
Mymensingh,April,3,22.47663660673443,27.058110173546915,71.76493969409663,49.126607147219104,150.19136493333207,7.17840372934552,Khorip Mug 1
Mymensingh,April,3,19.071183777083924,27.020304182569497,72.07549723960561,50.064977970199905,151.9358172275037,7.227789220083997,Khorip Mug 1
Khulna,April,3,35.62583674526037,30.678677051911727,75.8142315177254,54.913875436768045,181.75313964844085,7.081224288651646,Khorip Mug 1
Rajshahi,March,3,1.4490813777875755,27.140043234589296,59.47251194424427,59.51364705083737,206.80512024736248,5.603791562916353,Khorip Mug 1
Bogra,April,1,9.535784642189043,27.970340888164873,66.54569823765658,56.06674733482391,175.21306927777997,6.633939277141184,Khorip Mug 1
Bogra,April,1,6.393372632850123,28.126337856031558,64.95947298559874,56.11851441343726,174.6247549264165,6.6426635954055575,Khorip Mug 1
Rajshahi,March,3,5.128705016592197,27.31873999021257,58.12649598338523,59.23131975368208,208.2695882507391,5.511217482592344,Khorip Mug 1
Mymensingh,April,3,19.62201375673104,27.050453906516328,72.09058816423892,49.623498998803484,147.43953391561533,7.205089363622549,Khorip Mug 1
Dhaka,April,1,24.957462256288984,28.295979790983253,68.6777064653521,53.50557973624039,180.58140192760837,6.491607853416476,Khorip Mug 1
Bogra,April,1,7.142470753514157,28.199018698078774,65.16302453073048,56.1381063616823,175.1508904615115,6.613545849515366,Khorip Mug 1
Rajshahi,March,3,4.125117300984638,26.95444323674876,59.415390527526995,59.435330058003146,210.96712374565973,5.607797273187687,Khorip Mug 1
Bogra,April,1,8.199180271062055,27.96099827638008,66.03862271715887,55.99923542952203,173.67680290394935,6.675736035925905,Khorip Mug 1
Rajshahi,March,3,4.2347658050239,27.1811972002745,59.71054447730409,59.86461394345422,208.65384594255858,5.5270582023468,Khorip Mug 1
Khulna,April,3,37.20377726023012,30.594220565754828,77.58328751488301,55.113438946253794,177.50371925316415,7.084166191584366,Khorip Mug 1
Khulna,April,3,38.05494934223549,30.92380783120423,76.29560853189305,55.245565956971895,175.39978075575706,7.002759616300919,Khorip Mug 1
Rajshahi,March,3,3.855619316529137,26.96965388777365,59.503006901809094,58.607005682988,211.87023319758458,5.59653732189086,Khorip Mug 1
Rajshahi,March,3,4.9915448552132835,26.992721503813414,60.25751387115491,59.063468516930314,208.50195388600616,5.6241657103129885,Khorip Mug 1
Rajshahi,March,3,3.1566585993970886,27.14610717822149,58.64647737376493,59.258918415594444,208.25826315685876,5.561711826787598,Khorip Mug 1
Dhaka,April,1,27.89058712871808,28.039391780422083,69.17352068474827,53.090897161411576,181.16296411186138,6.587537538332082,Khorip Mug 1
Khulna,April,3,36.32088138182524,30.914485784758735,76.50490968818815,54.89888458692036,179.52671017236747,7.121663961889159,Khorip Mug 1
Rajshahi,March,3,4.055928475131799,26.98833126012184,59.193475236683746,58.53781363734849,209.47627738774278,5.632422526333221,Khorip Mug 1
Rajshahi,March,3,3.5718042266623575,27.1105531244542,58.658744014453006,58.83128840388418,210.6898412439047,5.611105310750362,Khorip Mug 1
Khulna,April,3,35.83073396091433,30.5668722172912,75.51663310788331,55.00778820271604,177.137960968045,7.052866521266596,Khorip Mug 1
Khulna,April,3,39.957799854504714,30.504352311970372,76.56188922269897,54.40285620298149,175.48909163099088,7.140356273996922,Khorip Mug 1
Bogra,April,1,10.681733859090476,28.112045856949564,65.62282142534686,55.6437395379009,171.08634055543575,6.626832583548387,Khorip Mug 1
Khulna,April,3,35.762488870617005,30.781632286568342,75.94453593831057,54.547127417273884,175.3977443943721,7.075401679838675,Khorip Mug 1
